,EPAREGION,"State,County",State,County,County_with_county_appended,Risk,Governance,Built Environment,Natural Environment,Society,CRSI
219,3,"Pennsylvania,McKean",Pennsylvania,McKean,McKean County,0.213,0.788,0.327,0.453,0.439,2.982
220,3,"Pennsylvania,Mercer",Pennsylvania,Mercer,Mercer County,0.238,0.786,0.448,0.389,0.521,4.025
221,3,"Pennsylvania,Mifflin",Pennsylvania,Mifflin,Mifflin County,0.161,0.747,0.332,0.466,0.512,4.842
222,3,"Pennsylvania,Monroe",Pennsylvania,Monroe,Monroe County,0.307,0.767,0.492,0.398,0.422,2.891
223,3,"Pennsylvania,Montgomery",Pennsylvania,Montgomery,Montgomery County,0.521,0.762,0.631,0.22,0.604,2.244
224,3,"Pennsylvania,Montour",Pennsylvania,Montour,Montour County,0.157,0.784,0.324,0.358,0.481,2.99
225,3,"Pennsylvania,Northampton",Pennsylvania,Northampton,Northampton County,0.5,0.754,0.522,0.32,0.509,1.865
226,3,"Pennsylvania,Northumberland",Pennsylvania,Northumberland,Northumberland County,0.189,0.758,0.418,0.348,0.475,3.492
227,3,"Pennsylvania,Perry",Pennsylvania,Perry,Perry County,0.096,0.846,0.42,0.418,0.595,12.109
228,3,"Pennsylvania,Philadelphia",Pennsylvania,Philadelphia,Philadelphia County,0.507,0.703,0.53,0.063,0.403,0.12
229,3,"Pennsylvania,Pike",Pennsylvania,Pike,Pike County,0.189,0.797,0.402,0.464,0.355,3.738
230,3,"Pennsylvania,Potter",Pennsylvania,Potter,Potter County,0.091,0.913,0.427,0.44,0.454,11.271
231,3,"Pennsylvania,Schuylkill",Pennsylvania,Schuylkill,Schuylkill County,0.244,0.766,0.617,0.365,0.508,5.37
232,3,"Pennsylvania,Snyder",Pennsylvania,Snyder,Snyder County,0.15,0.829,0.414,0.385,0.476,5.436
233,3,"Pennsylvania,Somerset",Pennsylvania,Somerset,Somerset County,0.124,0.781,0.638,0.374,0.493,11.05
234,3,"Pennsylvania,Sullivan",Pennsylvania,Sullivan,Sullivan County,0.102,0.924,0.349,0.413,0.47,7.803
235,3,"Pennsylvania,Susquehanna",Pennsylvania,Susquehanna,Susquehanna County,0.116,0.845,0.458,0.384,0.461,7.885
236,3,"Pennsylvania,Tioga",Pennsylvania,Tioga,Tioga County,0.087,0.858,0.558,0.383,0.427,12.958
237,3,"Pennsylvania,Union",Pennsylvania,Union,Union County,0.162,0.798,0.374,0.444,0.516,5.552
238,3,"Pennsylvania,Venango",Pennsylvania,Venango,Venango County,0.155,0.789,0.381,0.473,0.486,5.964
239,3,"Pennsylvania,Warren",Pennsylvania,Warren,Warren County,0.084,0.801,0.361,0.49,0.444,10.023
240,3,"Pennsylvania,Washington",Pennsylvania,Washington,Washington County,0.341,0.754,0.544,0.277,0.548,2.825
241,3,"Pennsylvania,Wayne",Pennsylvania,Wayne,Wayne County,0.152,0.809,0.486,0.393,0.588,8.086
