FIPS,p_all,p_blm,p_dod,p_doe,p_nps,p_usfs,p_usfws
28161,0.07109375,0,0,0,0,0.07109375,0
26165,0.2606951871657754,0,0,0,0,0.2606951871657754,0
37063,0,0,0,0,0,0,0
01039,0.08249721293199554,0,0,0,0,0.08249721293199554,0
13055,0.09825870646766169,0,0,0,0,0.09825870646766169,0
17127,0.020537124802527645,0,0,0,0,0.020537124802527645,0
26041,0.29004711425206126,0,0,0,0,0.29004711425206126,0
26013,0.07535070140280561,0,0,0,0,0.07535070140280561,0
28151,0.031818181818181815,0,0,0,0,0,0.031818181818181815
05061,0.004548408057179987,0,0,0,0,0.004548408057179987,0
21131,0.2125237191650854,0,0,0,0,0.2125237191650854,0
21203,0.09144893111638955,0,0,0,0,0.09144893111638955,0
28131,0.20541958041958042,0,0,0,0,0.20541958041958042,0
28129,0.178978978978979,0,0,0,0,0.178978978978979,0
37121,0.1347517730496454,0,0,0,0,0.1347517730496454,0
12003,0.330078125,0,0,0,0,0.3229166666666667,0.007161458333333333
47151,7.117437722419929e-4,0,0,0,0,7.117437722419929e-4,0
17157,0.007692307692307693,0,0,0,0,6.41025641025641e-4,0.007051282051282051
18123,0.23996082272282077,0,0,0,0,0.23996082272282077,0
30061,0.8188679245283019,0,0,0,0,0.8188679245283019,0
37011,0.1869009584664537,0,0,0,0,0.1869009584664537,0
39145,0.03696741854636591,0,0,0,0,0.03696741854636591,0
42123,0.26480541455160744,0,0,0,0,0.26480541455160744,0
50001,0.17246307765602667,0,0,0,0,0.17246307765602667,0
08079,0.9347154830172033,0,0,0,0,0.9347154830172033,0
28125,0.2279475982532751,0,0,0,0,0.211353711790393,0.016593886462882096
39041,8.396305625524769e-4,0,0,0,0,8.396305625524769e-4,0
26127,0.152327221438646,0,0,0,0,0.152327221438646,0
51035,0.022857142857142857,0,0,0,0,0.022857142857142857,0
17059,0.05414746543778802,0,0,0,0,0.05414746543778802,0
13233,0,0,0,0,0,0,0
01047,0.005032907471931862,0,0,0,0,0.005032907471931862,0
28115,0.0015337423312883436,0,0,0,0,0.0015337423312883436,0
48347,0.015772870662460567,0,0,0,0,0.015772870662460567,0
13281,0.5177304964539007,0,0,0,0,0.5177304964539007,0
28093,0.05670665212649945,0,0,0,0,0.05507088331515812,0.0016357688113413304
01043,0,0,0,0,0,0,0
18037,0.0018050541516245488,0,0,0,0,0.0018050541516245488,0
39079,0.007285974499089253,0,0,0,0,0.007285974499089253,0
48407,0.14879518072289158,0,0,0,0,0.14879518072289158,0
48339,0.06797853309481217,0,0,0,0,0.06797853309481217,0
46031,0.01910438636710989,0,0,0,0,0.01910438636710989,0
55078,0,0,0,0,0,0,0
28139,0.03336113427856547,0,0,0,0,0.03336113427856547,0
17197,0.033408577878103835,0,0,0,0,0.033408577878103835,0
29067,0.07867298578199051,0,0,0,0,0.07867298578199051,0
37189,0.0037641154328732747,0,0,0,0,0.0037641154328732747,0
28029,0.014756517461878997,0,0,0,0,0.014756517461878997,0
21193,0.014412416851441241,0,0,0,0,0.014412416851441241,0
55037,0.2630780894617134,0,0,0,0,0.2630780894617134,0
46075,0.032504012841091494,0,0,0,0,0.032504012841091494,0
36097,0.05067567567567568,0,0,0,0,0.05067567567567568,0
45073,0.19629415170816444,0,0,0,0,0.19629415170816444,0
13313,0.05525606469002695,0,0,0,0,0.05525606469002695,0
45065,0.21113243761996162,0,0,0,0,0.21113243761996162,0
28145,0.03222748815165877,0,0,0,0,0.031279620853080566,9.478672985781991e-4
05105,0.2806158152554234,0,0,0,0,0.2806158152554234,0
26081,0,0,0,0,0,0,0
40139,0,0,0,0,0,0,0
18025,0.11520190023752969,0,0,0,0,0.11520190023752969,0
22013,0,0,0,0,0,0,0
21205,0.33611111111111114,0,0,0,0,0.33611111111111114,0
48073,0.0065717415115005475,0,0,0,0,7.301935012778386e-4,0.005841548010222709
21121,0.0062047569803516025,0,0,0,0,0.0062047569803516025,0
21133,0.004597701149425287,0,0,0,0,0.004597701149425287,0
21135,7.639419404125286e-4,0,0,0,0,0,7.639419404125286e-4
42047,0.20666979802724283,0,0,0,0,0.20666979802724283,0
05115,0.3724584103512015,0,0,0,0,0.36506469500924216,0.0073937153419593345
13137,0.22550335570469798,0,0,0,0,0.22550335570469798,0
21069,0.011111111111111112,0,0,0,0,0.011111111111111112,0
50025,0.0769607843137255,0,0,0,0,0.07647058823529412,4.901960784313725e-4
17077,0.13642213642213644,0,0,0,0,0.1287001287001287,0.007722007722007722
13311,0.27435064935064934,0,0,0,0,0.27435064935064934,0
29157,0.0056179775280898875,0,0,0,0,8.025682182985554e-4,0.004815409309791332
48455,0.14627659574468085,0,0,0,0,0.14627659574468085,0
29221,0.1719939117199391,0,0,0,0,0.1719939117199391,0
29187,8.628127696289905e-4,0,0,0,0,8.628127696289905e-4,0
09009,0,0,0,0,0,0,0
