"","EPAREGION","State","County","Risk","Governance","Built Environment","Natural Environment","Society","CRSI"
"241",3,"Pennsylvania","Wayne","0.152",0.809,0.486,0.393,0.588,8.086
"242",3,"Pennsylvania","Westmoreland","0.546",0.712,0.506,0.303,0.588,1.761
"243",3,"Pennsylvania","Wyoming","0.206",0.874,0.426,0.391,0.501,4.641
"244",3,"Pennsylvania","York","0.507",0.749,0.666,0.34,0.502,2.655
"245",3,"Virginia","Accomack","0.162",0.687,0.504,0.65,0.534,10.342
"246",3,"Virginia","Albemarle","0.263",0.721,0.563,0.398,0.54,4.788
"247",3,"Virginia","Alexandria","0.607",0.742,0.255,0.117,0.495,-0.522
"248",3,"Virginia","Alleghany","0.198",0.618,0.349,0.451,0.657,4.785
"249",3,"Virginia","Amelia","0.111",0.72,0.331,0.445,0.651,8.8
"250",3,"Virginia","Amherst","0.256",0.664,0.447,0.418,0.602,4.163
"251",3,"Virginia","Appomattox","0.132",0.688,0.343,0.433,0.628,6.823
"252",3,"Virginia","Arlington","0.538",0.738,0.257,0.118,0.491,-0.6
"253",3,"Virginia","Augusta","0.208",0.584,0.558,0.498,0.574,6.847
"254",3,"Virginia","Bath","0.181",0.573,0.357,0.55,0.726,7.178
"255",3,"Virginia","Bedford","0.234",0.309,0.541,0.384,0.601,3.741
"256",3,"Virginia","Bland","0.082",0.404,0.291,0.48,0.485,3.793
"257",3,"Virginia","Botetourt","0.224",0.315,0.48,0.361,0.756,4.322
"258",3,"Virginia","Bristol","0.546",0.276,0.119,0.159,0.546,-1.727
"259",3,"Virginia","Brunswick","0.115",0.64,0.361,0.427,0.532,6.082
"260",3,"Virginia","Buchanan","0.15",0.532,0.402,0.265,0.394,0.18
"261",3,"Virginia","Buckingham","0.17",0.708,0.36,0.391,0.502,3.616
"262",3,"Virginia","Buena Vista","0.395",0.617,0.095,0.25,0.424,-1.733
"263",3,"Virginia","Campbell","0.203",0.58,0.451,0.34,0.652,4.431
"264",3,"Virginia","Caroline","0.131",0.765,0.474,0.487,0.503,9.244
"265",3,"Virginia","Carroll","0.14",0.456,0.396,0.312,0.504,1.941
"266",3,"Virginia","Charles City","0.101",0.839,0.329,0.52,0.524,10.148
"267",3,"Virginia","Charlotte","0.079",0.585,0.341,0.362,0.593,6.928
"268",3,"Virginia","Charlottesville","0.515",0.699,0.164,0.026,0.539,-1.437
"269",3,"Virginia","Chesapeake","0.714",0.688,0.398,0.481,0.544,1.398
"270",3,"Virginia","Chesterfield","0.626",0.728,0.51,0.407,0.581,1.964
"271",3,"Virginia","Clarke","0.106",0.778,0.32,0.389,0.646,8.111
"272",3,"Virginia","Colonial Heights","0.655",0.703,0.158,0.169,0.593,-0.455
"273",3,"Virginia","Covington","0.309",0.597,0.01,0.207,0.59,-2.296
"274",3,"Virginia","Craig","0.159",0.542,0.258,0.502,0.555,3.492
"275",3,"Virginia","Culpeper","0.282",0.777,0.372,0.393,0.656,3.624
"276",3,"Virginia","Cumberland","0.096",0.721,0.323,0.471,0.538,8.277
"277",3,"Virginia","Danville","0.458",0.555,0.04,0.192,0.416,-2.3
"278",3,"Virginia","Dickenson","0.129",0.531,0.369,0.437,0.434,3.432
"279",3,"Virginia","Dinwiddie","0.149",0.664,0.392,0.479,0.531,6.25
"280",3,"Virginia","Emporia","0.528",0.623,0.146,0.265,0.463,-0.81
"281",3,"Virginia","Essex","0.216",0.729,0.343,0.508,0.684,5.729
"282",3,"Virginia","Fairfax","0.485",0.779,0.175,0.148,0.842,0.541
"283",3,"Virginia","Fairfax","0.569",0.755,0.474,0.308,0.557,1.529
"284",3,"Virginia","Falls Church","0.32",0.973,0.152,0.225,0.766,1.369
"285",3,"Virginia","Fauquier","0.243",0.78,0.546,0.436,0.678,6.738
"286",3,"Virginia","Floyd","0.128",0.447,0.336,0.285,0.552,0.985
"287",3,"Virginia","Fluvanna","0.158",0.749,0.397,0.359,0.511,4.382
"288",3,"Virginia","Franklin","0.331",0.709,0.146,0.33,0.399,-0.928
"289",3,"Virginia","Franklin","0.194",0.491,0.422,0.325,0.514,2.182
"290",3,"Virginia","Frederick","0.487",0.727,0.451,0.308,0.522,1.46
"291",3,"Virginia","Fredericksburg","0.476",0.764,0.144,0.176,0.578,-0.603
"292",3,"Virginia","Galax","0.272",0.518,0.114,0.193,0.391,-3.439
"293",3,"Virginia","Giles","0.113",0.455,0.342,0.485,0.576,6.128
"294",3,"Virginia","Gloucester","0.273",0.754,0.347,0.582,0.678,5.282
"295",3,"Virginia","Goochland","0.215",0.757,0.422,0.35,0.525,3.597
"296",3,"Virginia","Grayson","0.124",0.31,0.363,0.365,0.463,0.688
"297",3,"Virginia","Greene","0.155",0.764,0.34,0.378,0.536,4.227
"298",3,"Virginia","Greensville","0.122",0.603,0.333,0.436,0.251,0.445
"299",3,"Virginia","Halifax","0.154",0.586,0.402,0.361,0.504,3.468
"300",3,"Virginia","Hampton","0.576",0.722,0.285,0.57,0.483,1.446
"301",3,"Virginia","Hanover","0.399",0.743,0.474,0.376,0.677,3.164
"302",3,"Virginia","Harrisonburg","0.391",0.878,0.266,0.142,0.448,-0.476
"303",3,"Virginia","Henrico","0.656",0.727,0.374,0.319,0.588,1.009
"304",3,"Virginia","Henry","0.37",0.485,0.369,0.325,0.452,0.421
"305",3,"Virginia","Highland","0.113",0.623,0.266,0.507,0.695,8.343
"306",3,"Virginia","Hopewell","0.561",0.686,0.136,0.24,0.462,-0.813
"307",3,"Virginia","Isle of Wight","0.348",0.71,0.39,0.487,0.585,3.149
"308",3,"Virginia","James City","0.519",0.706,0.327,0.546,0.539,1.888
"309",3,"Virginia","King and Queen","0.107",0.738,0.306,0.551,0.569,9.638
"310",3,"Virginia","King George","0.252",0.774,0.418,0.478,0.464,3.861
