FIPS,precip
54091,1194.214634
12005,1558.345708
54005,1196.227873
28091,1557.855843
31063,548.8860302
1083,1433.250997
12013,1531.101029
12117,1294.73395
13205,1314.201598
28023,1440.458102
46045,520.5466513
28085,1543.776001
13131,1338.582613
18135,1004.757569
27111,651.0880536
51073,1169.234211
10001,1115.03464
51127,1147.024233
20195,564.08888
5137,1249.823775
37043,1636.571391
37133,1394.649163
13143,1329.459994
28005,1603.114441
20041,824.5778785
31151,761.1561376
47037,1273.964546
1017,1325.47278
41023,536.9069175
21093,1211.180939
13181,1140.982165
40151,707.8954757
13235,1178.423677
21113,1162.4873
48235,525.0406711
26095,828.3208823
19003,889.5884853
4011,486.9413306
28157,1587.457308
1055,1391.06753
13207,1192.979302
20151,703.3825959
31185,724.0739401
40047,861.2719397
54051,1098.642082
18177,1050.535999
31123,436.2184333
28003,1437.924526
39171,925.8559418
48195,504.9284996
26049,815.4449571
26079,836.167714
47067,1168.867997
38069,466.1509225
42125,1008.057144
5141,1309.406511
18045,1029.633283
28019,1404.608969
51690,1140.755005
13191,1262.553738
48255,759.4110676
39097,993.0316662
29013,1103.525691
48301,300.1095416
18055,1160.759316
20141,667.6499289
29075,940.4217311
29051,1102.33897
48131,587.4321437
46019,408.5050512
27099,867.7562015
13245,1151.701635
17033,1111.945801
33017,1202.977936
40105,1068.37827
1031,1430.567758
13221,1202.213185
18133,1105.803915
27013,792.5843446
32029,328.4133352
47133,1370.774843
1075,1444.977899
26019,860.6891385
48045,567.6446176
19017,910.4986115
37025,1137.537627
42113,1151.237983
54095,1155.778812
13023,1179.550338
17145,1119.709875
17049,1066.839406
1059,1484.747029
20105,712.1651293
18151,965.4288907
37059,1110.638939
19033,880.1176764
46111,610.1017047
39173,875.1913716
13197,1255.837146
54015,1193.043642
51185,1167.286671
19135,953.8346946
19191,889.6171078
38103,467.9776294
37165,1155.242893
48047,596.3057229
48139,977.1241972
37111,1281.823631
20189,468.1687503
29151,1118.771735
48219,494.4393735
55121,861.8909997
29153,1135.42984
31067,800.0495855
39141,1014.781637
19141,764.8106042
46007,498.069617
54087,1154.731322
40011,789.8155886
20025,589.7287
1121,1365.773785
21115,1123.891703
46121,520.5667776
48007,897.3031244
13085,1523.232223
19157,921.0348858
48159,1177.441254
18047,1094.139184
21027,1213.611447
13159,1187.055902
48165,438.7182603
48211,605.6888654
19037,915.154583
45083,1239.858364
19095,924.900315
